584.0,		168.0,	1.0,	Radius,	0.0,	DistanceRunningAverage,	50,	2013-07-25T00:37:41.000001
585.0,		169.0,	1.0,	Radius,	0.0,	DistanceRunningAverage,	51,	2013-07-25T00:37:41.200001
585.0,		169.0,	1.0,	Radius,	0.0,	DistanceRunningAverage,	52,	2013-07-25T00:37:41.400001
585.0,		169.0,	1.0,	Radius,	0.0,	DistanceRunningAverage,	53,	2013-07-25T00:37:41.600001
580.0,		172.0,	1.0,	Radius,	3.14,	DistanceRunningAverage,	54,	2013-07-25T00:37:41.800001
573.0,		170.0,	1.0,	Radius,	3.14,	DistanceRunningAverage,	55,	2013-07-25T00:37:42.000001
573.0,		170.0,	1.0,	Radius,	3.14,	DistanceRunningAverage,	56,	2013-07-25T00:37:42.200001
574.0,		179.0,	1.0,	Radius,	-1.57,	DistanceRunningAverage,	57,	2013-07-25T00:37:42.400001
581.0,		194.0,	1.41,	Radius,	-0.79,	DistanceRunningAverage,	58,	2013-07-25T00:37:42.600001
580.0,		197.0,	1.0,	Radius,	3.14,	DistanceRunningAverage,	59,	2013-07-25T00:37:42.800001
580.0,		210.0,	1.0,	Radius,	-1.57,	DistanceRunningAverage,	60,	2013-07-25T00:37:43.000001
583.0,		213.0,	1.0,	Radius,	0.0,	DistanceRunningAverage,	61,	2013-07-25T00:37:43.200001
583.0,		213.0,	1.0,	Radius,	0.0,	DistanceRunningAverage,	62,	2013-07-25T00:37:43.400001
581.0,		226.0,	1.0,	Radius,	-1.57,	DistanceRunningAverage,	63,	2013-07-25T00:37:43.600001
579.0,		232.0,	1.0,	Radius,	3.14,	DistanceRunningAverage,	64,	2013-07-25T00:37:43.800001
579.0,		232.0,	1.0,	Radius,	3.14,	DistanceRunningAverage,	65,	2013-07-25T00:37:44.000001
579.0,		232.0,	1.0,	Radius,	3.14,	DistanceRunningAverage,	66,	2013-07-25T00:37:44.200001
579.0,		232.0,	1.0,	Radius,	3.14,	DistanceRunningAverage,	67,	2013-07-25T00:37:44.400001
579.0,		232.0,	1.0,	Radius,	3.14,	DistanceRunningAverage,	68,	2013-07-25T00:37:44.600001
579.0,		235.0,	3.0,	Radius,	-1.57,	DistanceRunningAverage,	69,	2013-07-25T00:37:44.800001
579.0,		248.0,	1.0,	Radius,	-1.57,	DistanceRunningAverage,	70,	2013-07-25T00:37:45.000001
579.0,		248.0,	1.0,	Radius,	-1.57,	DistanceRunningAverage,	71,	2013-07-25T00:37:45.200001
579.0,		248.0,	1.0,	Radius,	-1.57,	DistanceRunningAverage,	72,	2013-07-25T00:37:45.400001
579.0,		248.0,	1.0,	Radius,	-1.57,	DistanceRunningAverage,	73,	2013-07-25T00:37:45.600001
579.0,		248.0,	1.0,	Radius,	-1.57,	DistanceRunningAverage,	74,	2013-07-25T00:37:45.800001
579.0,		248.0,	1.0,	Radius,	-1.57,	DistanceRunningAverage,	75,	2013-07-25T00:37:46.000001
578.0,		260.0,	1.0,	Radius,	3.14,	DistanceRunningAverage,	76,	2013-07-25T00:37:46.200001
575.0,		265.0,	1.41,	Radius,	-2.36,	DistanceRunningAverage,	77,	2013-07-25T00:37:46.400001
573.0,		281.0,	1.41,	Radius,	-2.36,	DistanceRunningAverage,	78,	2013-07-25T00:37:46.600001
572.0,		288.0,	1.0,	Radius,	-1.57,	DistanceRunningAverage,	79,	2013-07-25T00:37:46.800001
572.0,		292.0,	1.0,	Radius,	-1.57,	DistanceRunningAverage,	80,	2013-07-25T00:37:47.000001
572.0,		300.0,	1.0,	Radius,	-1.57,	DistanceRunningAverage,	81,	2013-07-25T00:37:47.200001
571.0,		307.0,	1.0,	Radius,	-1.57,	DistanceRunningAverage,	82,	2013-07-25T00:37:47.400001
571.0,		309.0,	1.0,	Radius,	-1.57,	DistanceRunningAverage,	83,	2013-07-25T00:37:47.600001
571.0,		310.0,	1.0,	Radius,	-1.57,	DistanceRunningAverage,	84,	2013-07-25T00:37:47.800001
571.0,		310.0,	1.0,	Radius,	-1.57,	DistanceRunningAverage,	85,	2013-07-25T00:37:48.000001
571.0,		310.0,	1.0,	Radius,	-1.57,	DistanceRunningAverage,	86,	2013-07-25T00:37:48.200001
571.0,		317.0,	2.0,	Radius,	-1.57,	DistanceRunningAverage,	87,	2013-07-25T00:37:48.400001
571.0,		319.0,	1.0,	Radius,	-1.57,	DistanceRunningAverage,	88,	2013-07-25T00:37:48.600001
571.0,		327.0,	1.0,	Radius,	-1.57,	DistanceRunningAverage,	89,	2013-07-25T00:37:48.800001
571.0,		335.0,	1.0,	Radius,	-1.57,	DistanceRunningAverage,	90,	2013-07-25T00:37:49.000001
571.0,		335.0,	1.0,	Radius,	-1.57,	DistanceRunningAverage,	91,	2013-07-25T00:37:49.200001
571.0,		335.0,	1.0,	Radius,	-1.57,	DistanceRunningAverage,	92,	2013-07-25T00:37:49.400001
571.0,		335.0,	1.0,	Radius,	-1.57,	DistanceRunningAverage,	93,	2013-07-25T00:37:49.600001
571.0,		335.0,	1.0,	Radius,	-1.57,	DistanceRunningAverage,	94,	2013-07-25T00:37:49.800001
569.0,		341.0,	1.0,	Radius,	-1.57,	DistanceRunningAverage,	95,	2013-07-25T00:37:50.000001
558.0,		357.0,	1.0,	Radius,	3.14,	DistanceRunningAverage,	96,	2013-07-25T00:37:50.200001
547.0,		362.0,	1.0,	Radius,	3.14,	DistanceRunningAverage,	97,	2013-07-25T00:37:50.400001
532.0,		365.0,	1.0,	Radius,	3.14,	DistanceRunningAverage,	98,	2013-07-25T00:37:50.600001
528.0,		367.0,	1.0,	Radius,	3.14,	DistanceRunningAverage,	99,	2013-07-25T00:37:50.800001
521.0,		372.0,	1.41,	Radius,	-2.36,	DistanceRunningAverage,	100,	2013-07-25T00:37:51.000001
515.0,		379.0,	1.41,	Radius,	-2.36,	DistanceRunningAverage,	101,	2013-07-25T00:37:51.200001
509.0,		388.0,	1.0,	Radius,	-1.57,	DistanceRunningAverage,	102,	2013-07-25T00:37:51.400001
499.0,		400.0,	1.41,	Radius,	-2.36,	DistanceRunningAverage,	103,	2013-07-25T00:37:51.600001
494.0,		414.0,	1.41,	Radius,	-0.79,	DistanceRunningAverage,	104,	2013-07-25T00:37:51.800001
508.0,		425.0,	2.24,	Radius,	-1.11,	DistanceRunningAverage,	105,	2013-07-25T00:37:52.000001
511.0,		429.0,	1.0,	Radius,	-1.57,	DistanceRunningAverage,	106,	2013-07-25T00:37:52.200001
515.0,		431.0,	1.0,	Radius,	-1.57,	DistanceRunningAverage,	107,	2013-07-25T00:37:52.400001
